"queue","id","date","decision","type","chapter","title","action","catalog_url","pdf_urls","source_note"
"Selection Candidates","clinton-v27-005","1994-11-07","Include candidate","Source Lead","Angola, Mozambique, and Southern African Security","Soderberg notes from Bosnia and Angola PC meeting","Extract text, page spans, markings, and omitted-material notes for final selection review.","https://clinton.presidentiallibraries.us/items/show/72408","https://clinton.presidentiallibraries.us/files/original/d99d763c5a60d17afe606193e3fb0a86.pdf","Source: Clinton Digital Library, National Security Council, Nancy Soderberg files, Box 10, [Soderberg Notes from Bosnia and Angola PC Meeting, November 7, 1994], item 72408. PDF available from item page; full source markings and page span require PDF review."
"Selection Candidates","clinton-v27-022","1994-12-05","Include candidate","Release Packet","Regional Democracy, Health, and Economic Policy","Zimbabwe 1995 and Zimbabwe 1997 FOIA release packet","Extract text, page spans, markings, and omitted-material notes for final selection review.","https://clinton.presidentiallibraries.us/items/show/14676","https://clinton.presidentiallibraries.us/files/original/df4bb9956a0cbbcb0c924a11c321abd7.pdf","Source: Clinton Digital Library, Previously Restricted Document Release no. 5, FOIA 2006-0457-F - Zimbabwe, item 14676, case 2006-0457-F. The online PDF is 6 pages and covers NSC African Affairs folders Zimbabwe 1995, OA/Box 872, and Zimbabwe 1997 [1], OA/Box 1438."
"Selection Candidates","clinton-v27-023","1995-05-16","Include candidate","Release Packet","Regional Democracy, Health, and Economic Policy","Mugabe visit briefing packet and talking points","Extract text, page spans, markings, and omitted-material notes for final selection review.","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","Source: Clinton Digital Library, Declassified Documents, FOIA 2006-0457-F - Zimbabwe, item 14571, case 2006-0457-F, Clinton Presidential Records, National Security Council, African Affairs, OA/Box 2663, Official Working Visit of President Mugabe of Zimbabwe, May 18, 1995. The online PDF is 157 pages."
"Selection Candidates","clinton-v27-030","2000-04-03","Include candidate","Release Packet","South Africa Transition and Bilateral Relations","Mbeki AIDS controversy packet, part 2","Extract text, page spans, markings, and omitted-material notes for final selection review.","https://clinton.presidentiallibraries.us/items/show/64751","https://clinton.presidentiallibraries.us/files/original/26093367de952b94c544f7abc15c6c62.pdf","Source: Clinton Digital Library, National Security Council, NSC Legal Affairs Office, Box 50, Mbeki [of South Africa] - AIDS Controversy [2] [OA/ID 3646], item 64751, NAID 54977305. The online PDF is 61 pages."
"Selection Candidates","clinton-v27-029","2000-05-01","Include candidate","Release Packet","South Africa Transition and Bilateral Relations","Mbeki AIDS controversy packet, part 1","Extract text, page spans, markings, and omitted-material notes for final selection review.","https://clinton.presidentiallibraries.us/items/show/64750","https://clinton.presidentiallibraries.us/files/original/21a9567fcf0c1490aa2ebcf893468b16.pdf","Source: Clinton Digital Library, National Security Council, NSC Legal Affairs Office, Box 50, Mbeki [of South Africa] - AIDS Controversy [1] [OA/ID 3646], item 64750, NAID 54977304. The online PDF is 70 pages."
"Selection Candidates","clinton-v27-038","2000-10-01","Include candidate","Release Packet","Angola, Mozambique, and Southern African Security","MDR packet on Victor Butt/Bout arms trafficking and sub-Saharan Africa","Extract text, page spans, markings, and omitted-material notes for final selection review.","https://clinton.presidentiallibraries.us/items/show/118505","https://clinton.presidentiallibraries.us/files/original/1e4efdd7fac280c9490efa4b4fb0f9cd.pdf","Source: Clinton Digital Library, Mandatory Declassification Review, National Security Council, Declassified Documents Regarding Victor Butt/Bout, item 118505, case 2016-0165-M, FOIA case 2006-0684-F. The online PDF is 98 pages."
"Scope Decisions","clinton-v27-025","1997-07-16","Boundary review","Source Lead","Regional Democracy, Health, and Economic Policy","Erica Barks-Ruggles memorandum to Samuel Berger on African-African American Summit","Make an include/context/exclude decision and record the volume-scope rationale.","https://clinton.presidentiallibraries.us/items/show/14571","https://clinton.presidentiallibraries.us/files/original/01e7249f204413bb4b0238dad64c408e.pdf","Source: Clinton Digital Library, Declassified Documents, FOIA 2006-0457-F - Zimbabwe, item 14571, case 2006-0457-F, Clinton Presidential Records, National Security Council, Records Management, OA/Box 1631, [Zimb*], folder 9704944, Erica Barks-Ruggles to Samuel Berger, re: Update on African-African American Summit, July 16, 1997."
"Scope Decisions","clinton-v27-031","2000-05-04","Boundary review","Release Packet","Regional Democracy, Health, and Economic Policy","MDR packet on the global AIDS crisis, Africa, and the Mbeki state visit","Make an include/context/exclude decision and record the volume-scope rationale.","https://clinton.presidentiallibraries.us/items/show/119208","https://clinton.presidentiallibraries.us/files/original/658d3ce0236437eab569f63b04278e1f.pdf https://clinton.presidentiallibraries.us/files/original/eb8f2b1ca9bb04768340f55897d880a4.pdf https://clinton.presidentiallibraries.us/files/original/a45536181776d20e1400df63854d4443.pdf https://clinton.presidentiallibraries.us/files/original/3b88b5d2d8b557e67c3c5c09441aa900.pdf","Source: Clinton Digital Library, Mandatory Declassification Review, National Economic Council, National Security Council, and NSC Records Management System, Declassified Documents Concerning the Global AIDS Crisis, item 119208, case 2017-0739-M, file unit 2007-1550-F. The item page provides four PDFs totaling 557 pages."
"Scope Decisions","clinton-v27-040","2000-11-12","Boundary review","Release Packet","Regional Democracy, Health, and Economic Policy","Namibia HIV/AIDS agreement cables in Global AIDS Crisis MDR packet","Make an include/context/exclude decision and record the volume-scope rationale.","https://clinton.presidentiallibraries.us/items/show/119208","https://clinton.presidentiallibraries.us/files/original/3b88b5d2d8b557e67c3c5c09441aa900.pdf","Source: Clinton Digital Library, Mandatory Declassification Review, National Economic Council, National Security Council, and NSC Records Management System, Declassified Documents Concerning the Global AIDS Crisis, item 119208, case 2017-0739-M, file unit 2007-1550-F, PDF 4, U.S.-Namibia bilateral HIV/AIDS agreement cable sequence."
"Pull and Extraction Blockers","clinton-v27-003","1994-05-10","Source lead","Finding Aid","South Africa Transition and Bilateral Relations","South Africa collection finding aid","Pre-pull the collection or request scans, then create document-level records from useful folders.","https://clinton.presidentiallibraries.us/items/show/57366","","Source: Clinton Digital Library, Finding Aids - Collection Descriptions & Inventories, South Africa - Collection Finding Aid, item 57366. The item page states that no items in the collection have been scanned or made available online."
"Pull and Extraction Blockers","clinton-v27-028","1995-02-01","Source lead","Finding Aid","South Africa Transition and Bilateral Relations","Thabo Mbeki 1995 visit collection finding aid","Pre-pull the collection or request scans, then create document-level records from useful folders.","https://clinton.presidentiallibraries.us/items/show/58580","","Source: Clinton Digital Library, Finding Aids - Collection Descriptions & Inventories, Thabo Mbeki's 1995 visit to the U.S. - Collection Finding Aid, item 58580. The item page states that the collection contains briefing books, State Department cables, emails, and policy papers about the Gore-Mbeki commission and that no items have been scanned online."
"Pull and Extraction Blockers","clinton-v27-006","1994-11-20","Source lead","Finding Aid","Angola, Mozambique, and Southern African Security","Angola collection finding aid","Pre-pull the collection or request scans, then create document-level records from useful folders.","https://clinton.presidentiallibraries.us/items/show/57585","","Source: Clinton Digital Library, Finding Aids - Collection Descriptions & Inventories, Angola - Collection Finding Aid, item 57585. The item page describes correspondence, memoranda, reports, and emails from NSC African Affairs and states that no items in the collection have been scanned online."
"Pull and Extraction Blockers","clinton-v27-049","1995-01-01","Source lead","Finding Aid","Regional Democracy, Health, and Economic Policy","Zimbabwe collection finding aid","Pre-pull the collection or request scans, then create document-level records from useful folders.","https://clinton.presidentiallibraries.us/items/show/36431","","Source: Clinton Digital Library, Finding Aids - Collection Descriptions & Inventories, Zimbabwe - Collection Finding Aid, item 36431. The description identifies NSC records concerning Zimbabwe from 1995 through 1997, high-level visits, the 1997 African-African American Summit, and aid in the mid-1990s."
"Pull and Extraction Blockers","clinton-v27-013","1998-12-01","Source lead","Finding Aid","Regional Democracy, Health, and Economic Policy","Global AIDS Crisis collection finding aid","Pre-pull the collection or request scans, then create document-level records from useful folders.","https://clinton.presidentiallibraries.us/items/show/48956","","Source: Clinton Digital Library, Finding Aids - Collection Descriptions & Inventories, Global AIDS Crisis - Collection Finding Aid, item 48956. Use for AIDS policy leads that connect southern African health diplomacy with broader global health files."
"Pull and Extraction Blockers","clinton-v27-014","1999-01-01","Source lead","Finding Aid","Regional Democracy, Health, and Economic Policy","Arms Trafficking collection finding aid","Pre-pull the collection or request scans, then create document-level records from useful folders.","https://clinton.presidentiallibraries.us/items/show/36004","","Source: Clinton Digital Library, Finding Aids - Collection Descriptions & Inventories, Arms Trafficking - Collection Finding Aid, item 36004. The item page identifies cables and email on NSC travel to South Africa and a meeting of the South African Development Commission; no items are scanned online."
